study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA204941	SAMN02199152	SRS454173	SRX316890	SRR924539	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924539/SRR924539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924539/SRR924539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924539/SRR924539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924539/SRR924539_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924539	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924539	NA	NA
PRJNA204941	SAMN02199154	SRS454175	SRX316892	SRR924541	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924541/SRR924541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924541/SRR924541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924541/SRR924541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924541/SRR924541_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924541	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924541	NA	NA
PRJNA204941	SAMN02199156	SRS454177	SRX316894	SRR924546	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924546/SRR924546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924546/SRR924546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924546/SRR924546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924546/SRR924546_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924546	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924546	NA	NA
PRJNA204941	SAMN02199158	SRS454179	SRX316896	SRR924548	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924548/SRR924548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924548/SRR924548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924548/SRR924548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924548/SRR924548_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924548	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924548	NA	NA
PRJNA204941	SAMN02199160	SRS454181	SRX316898	SRR924550	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924550/SRR924550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924550/SRR924550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924550/SRR924550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924550/SRR924550_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924550	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924550	NA	NA
PRJNA204941	SAMN02199162	SRS454183	SRX316900	SRR924552	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924552/SRR924552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924552/SRR924552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924552/SRR924552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924552/SRR924552_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924552	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924552	NA	NA
PRJNA204941	SAMN02199164	SRS454185	SRX316902	SRR924554	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924554/SRR924554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924554/SRR924554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924554/SRR924554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924554/SRR924554_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924554	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924554	NA	NA
PRJNA204941	SAMN02199166	SRS454187	SRX316904	SRR924556	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924556/SRR924556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924556/SRR924556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924556/SRR924556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924556/SRR924556_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924556	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924556	NA	NA
PRJNA204941	SAMN02199168	SRS454189	SRX316906	SRR924558	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924558/SRR924558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924558/SRR924558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924558/SRR924558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924558/SRR924558_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924558	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924558	NA	NA
PRJNA204941	SAMN02199170	SRS454191	SRX316908	SRR924561	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924561/SRR924561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924561/SRR924561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924561/SRR924561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924561/SRR924561_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924561	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924561	NA	NA
