study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA204941	SAMN02199150	SRS453994	SRX316685	SRR924202	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924202/SRR924202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924202/SRR924202_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924202/SRR924202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924202/SRR924202_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924202	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924202	NA	NA
PRJNA204941	SAMN02199151	SRS454172	SRX316889	SRR924485	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924485/SRR924485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924485/SRR924485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924485/SRR924485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924485/SRR924485_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924485	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924485	NA	NA
PRJNA204941	SAMN02199153	SRS454174	SRX316891	SRR924540	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924540/SRR924540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924540/SRR924540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924540/SRR924540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924540/SRR924540_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924540	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924540	NA	NA
PRJNA204941	SAMN02199155	SRS454176	SRX316893	SRR924542	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924542/SRR924542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924542/SRR924542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924542/SRR924542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924542/SRR924542_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924542	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924542	NA	NA
PRJNA204941	SAMN02199157	SRS454178	SRX316895	SRR924547	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924547/SRR924547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924547/SRR924547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924547/SRR924547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924547/SRR924547_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924547	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924547	NA	NA
PRJNA204941	SAMN02199159	SRS454180	SRX316897	SRR924549	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924549/SRR924549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924549/SRR924549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924549/SRR924549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924549/SRR924549_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924549	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924549	NA	NA
PRJNA204941	SAMN02199161	SRS454182	SRX316899	SRR924551	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924551/SRR924551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924551/SRR924551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924551/SRR924551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924551/SRR924551_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924551	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924551	NA	NA
PRJNA204941	SAMN02199163	SRS454184	SRX316901	SRR924553	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924553/SRR924553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924553/SRR924553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924553/SRR924553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924553/SRR924553_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924553	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924553	NA	NA
PRJNA204941	SAMN02199165	SRS454186	SRX316903	SRR924555	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924555/SRR924555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924555/SRR924555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924555/SRR924555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924555/SRR924555_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924555	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924555	NA	NA
PRJNA204941	SAMN02199167	SRS454188	SRX316905	SRR924557	208526	Gallus gallus gallus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924557/SRR924557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924557/SRR924557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924557/SRR924557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR924/SRR924557/SRR924557_2.fastq.gz	NA	NA	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924557	ftp.sra.ebi.ac.uk/vol1/srr/SRR924/SRR924557	NA	NA
