Gene	num_samples.above_median_linear1	min_total_logSD_per_gene.above_median_linear1	num_samples.above_median_linear10	min_total_logSD_per_gene.above_median_linear10	num_samples.above_median_linear100	min_total_logSD_per_gene.above_median_linear100
RJF.Contig1.LOC43.YLEC18f	0	NA	0	NA	0	NA
RJF.Contig1.LOC41.YLEC17e	0	NA	0	NA	0	NA
RJF.Contig1.LOC24.YLEC10c	2	1.27976706857188	0	NA	0	NA
RJF.Contig1.LOC11.ZNFY2a	0	NA	0	NA	0	NA
RJF.Contig1.LOC39.MHCY13e	3	0.111193414219817	0	NA	0	NA
RJF.Contig1.LOC16.MHCY3h	5	1.63607453679049	0	NA	0	NA
RJF.Contig1.LOC27.MHCY7l	4	0.374808375985466	0	NA	0	NA
RJF.Contig1.LOC23.YLEC9b	11	0.522498125993581	1	2.17106699829476	0	NA
RJF.Contig1.LOC13.MHCY1d	5	0.296434170037812	0	NA	0	NA
RJF.Contig1.LOC19.MHCY5f	21	0.541705823714606	9	1.60475650331556	0	NA
RJF.Contig1.LOC14.MHCY2v	6	0.207853044703642	0	NA	0	NA
RJF.Contig1.LOC44.MHCY15m	2	1.01372021381995	0	NA	0	NA
RJF.Contig1.LOC31.YLEC13d	0	NA	0	NA	0	NA
RJF.Contig1.LOC50.MHCY18i	6	0.175426637163442	0	NA	0	NA
RJF.Contig1.LOC51.MHCY19t	0	NA	0	NA	0	NA
RJF.Contig1.LOC32.MHCY9i	6	0.191423210796162	0	NA	0	NA
RJF.Contig1.LOC37.MHCY12q	10	0.514388359317263	0	NA	0	NA
RJF.Contig1.LOC52.MHCY20o	5	0.350373166494476	0	NA	0	NA
RJF.Contig1.LOC30.MHCY8a	13	0.151981226920299	1	0.151981226920299	0	NA
RJF.Contig1.LOC48.MHCY17a	13	0.151798814855382	1	0.151798814855382	0	NA
RJF.Contig1.LOC33.MHCY10t	0	NA	0	NA	0	NA
RJF.Contig1.LOC06.MHCY2B1a	0	NA	0	NA	0	NA
RJF.Contig1.LOC34.MHCY11o	5	0.348006043618414	0	NA	0	NA
RJF.Contig1.LOC22.YLEC8a	11	0.335172576338665	2	2.02176009626655	0	NA
RJF.Contig1.LOC17.MHCY4v	6	0.206840843074303	0	NA	0	NA
RJF.Contig1.LOC49.YLEC19d	0	NA	0	NA	0	NA
RJF.Contig1.LOC21.MHCY6u	13	0.232114421538555	0	NA	0	NA
RJF.Contig1.LOC42.MHCY14s	2	2.21499154914632	0	NA	0	NA
RJF.Contig1.LOC12.MHCY2B2b	0	NA	0	NA	0	NA
RJF.Contig1.LOC07.ZNFY1a	0	NA	0	NA	0	NA
RJF.Contig2.LOC07.MHCY23m	2	1.01372021381995	0	NA	0	NA
RJF.Contig2.LOC04.YLEC21e	0	NA	0	NA	0	NA
RJF.Contig2.LOC16.MHCY29v	6	0.205401366867547	0	NA	0	NA
RJF.Contig2.LOC14.MHCY27t	0	NA	0	NA	0	NA
RJF.Contig2.LOC18.MHCY30h	5	1.63784406282601	0	NA	0	NA
RJF.Contig2.LOC21.MHCY32g	22	0.517372039777733	8	1.61751140599337	0	NA
RJF.Contig2.LOC19.MHCY31v	6	0.205884824856753	0	NA	0	NA
RJF.Contig2.LOC24.YLEC27a	11	0.339483470302033	2	2.02176009626655	0	NA
RJF.Contig2.LOC25.YLEC28b	11	0.523910756598772	1	2.27138908611235	0	NA
RJF.Contig2.LOC15.MHCY28o	5	0.350626565390521	0	NA	0	NA
RJF.Contig2.LOC06.YLEC22f	0	NA	0	NA	0	NA
RJF.Contig2.LOC26.YLEC29c	2	1.27806213252609	0	NA	0	NA
RJF.Contig2.LOC11.MHCY25a	13	0.150510923679064	1	0.150510923679064	0	NA
RJF.Contig2.LOC13.MHCY26i	6	0.178255427940841	0	NA	0	NA
RJF.Contig2.LOC23.MHCY33u	13	0.232114421538555	0	NA	0	NA
RJF.Contig2.LOC05.MHCY22s	2	2.21562196377833	0	NA	0	NA
RJF.Contig2.LOC02.MHCY21e	3	0.108425855718075	0	NA	0	NA
RJF.Contig2.LOC12.YLEC23g	0	NA	0	NA	0	NA
RJF.Contig3.LOC09.MHCY2B7c	0	NA	0	NA	0	NA
RJF.Contig3.LOC14.MHCY37c	24	0.138442220417649	13	0.217600536658568	0	NA
RJF.Contig3.LOC02.MHCY34b	17	0.132531349964922	0	NA	0	NA
RJF.Contig3.LOC10.MHCY35k	7	0.276834320418441	0	NA	0	NA
RJF.Contig3.LOC13.MHCY36w	2	0.43453974470599	0	NA	0	NA
RJF.Contig3.LOC16.MHCY38j	6	0.339718995451248	0	NA	0	NA
RJF.Contig3.LOC21.MHCY40l	6	0.437235434260384	0	NA	0	NA
RJF.Contig3.LOC11.YLEC34h	0	NA	0	NA	0	NA
RJF.Contig3.LOC08.ZNFY4b	4	0.194298901095546	0	NA	0	NA
RJF.Contig3.LOC18.MHCY39r	15	0.287457290920873	1	3.76789067972811	0	NA
RJF.Contig3.LOC01.YLEC30partial	0	NA	0	NA	0	NA
RJF.Contig3.LOC04.ZNFY3a	0	NA	0	NA	0	NA
RJF.Contig4.LOC06.YLEC41f	0	NA	0	NA	0	NA
RJF.Contig4.LOC05.MHCY42s	2	2.21292939409764	0	NA	0	NA
RJF.Contig4.LOC08.MHCY44n	6	0.83414193248402	0	NA	0	NA
RJF.Contig4.LOC04.YLEC40e	0	NA	0	NA	0	NA
RJF.Contig4.LOC02.MHCY41e	3	0.107594373411065	0	NA	0	NA
