Gene	junctions1_n1	junctions1_n3	junctions1_n10	junctions10_n1	junctions10_n3	junctions10_n10	junctions100_n1	junctions100_n3	junctions100_n10	junctions1_unique_n1	junctions1_unique_n3	junctions1_unique_n10	junctions10_unique_n1	junctions10_unique_n3	junctions10_unique_n10	junctions100_unique_n1	junctions100_unique_n3	junctions100_unique_n10	meanCPM
RJF.Contig1.LOC43.YLEC18f	6 / 6	6 / 6	5 / 6	5 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.0253180041152263
RJF.Contig1.LOC41.YLEC17e	6 / 6	5 / 6	3 / 6	3 / 6	2 / 6	0 / 6	0 / 6	0 / 6	0 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.021197633744856
RJF.Contig1.LOC24.YLEC10c	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	6 / 6	3 / 6	1 / 6	2 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.741148765432099
RJF.Contig1.LOC11.ZNFY2a	3 / 3	3 / 3	3 / 3	3 / 3	3 / 3	3 / 3	2 / 3	2 / 3	0 / 3	3 / 3	3 / 3	1 / 3	1 / 3	1 / 3	0 / 3	0 / 3	0 / 3	0 / 3	0.200812345679012
RJF.Contig1.LOC39.MHCY13e	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	0 / 7	5 / 7	2 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0.459493474426809
RJF.Contig1.LOC16.MHCY3h	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	5 / 7	6 / 7	4 / 7	3 / 7	1 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	3.54400846560847
RJF.Contig1.LOC27.MHCY7l	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	5 / 6	1 / 6	6 / 6	5 / 6	4 / 6	4 / 6	3 / 6	2 / 6	1 / 6	0 / 6	0 / 6	0.912610802469136
RJF.Contig1.LOC23.YLEC9b	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	4 / 6	5 / 6	3 / 6	3 / 6	3 / 6	1 / 6	1 / 6	1 / 6	0 / 6	0 / 6	6.04515277777779
RJF.Contig1.LOC13.MHCY1d	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	0 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	0 / 7	1.04180582010582
RJF.Contig1.LOC19.MHCY5f	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	6 / 7	6 / 7	5 / 7	6 / 7	6 / 7	5 / 7	5 / 7	5 / 7	1 / 7	3 / 7	1 / 7	1 / 7	14.0402243386243
