A30	A32	A74	A01	A26	A11	A03	A29	A31	A02	A23	A24	B13	B51	B58	B35	B15	B56	B08	B27	B18	B38	B39	B14	B37
A30	0	0.33022170361727	0.33022170361727	0.439393939393939	0.32646420824295	0.332159624413146	0.355704697986577	0.288481141692151	0.23972602739726	0.589531680440771	0.671578947368421	0.671578947368421	0.526153846153846	0.425249169435216	0.482485128883014	0.482485128883014	0.46606648199446	0.543577981651376	0.681159420289855	0.495476687543493	0.490629183400268	0.590945836701698	0.590945836701698	0.66003616636528	0.562956945572705
A32	0.33022170361727	0	0	0.491573033707865	0.292275574112735	0.369747899159664	0.598290598290598	1.8034188034188	1.48305084745763	0.43878954607978	1.20425531914894	1.20425531914894	0.470430107526882	0.293018682399213	0.345086705202312	0.345086705202312	0.326100060277276	0.380513495720869	0.488980716253443	0.456935630099728	0.350702576112412	0.387543252595156	0.387543252595156	0.426717557251908	0.363699582753825
A74	0.33022170361727	0	0	0.491573033707865	0.292275574112735	0.369747899159664	0.598290598290598	1.8034188034188	1.48305084745763	0.43878954607978	1.20425531914894	1.20425531914894	0.470430107526882	0.293018682399213	0.345086705202312	0.345086705202312	0.326100060277276	0.380513495720869	0.488980716253443	0.456935630099728	0.350702576112412	0.387543252595156	0.387543252595156	0.426717557251908	0.363699582753825
A01	0.439393939393939	0.491573033707865	0.491573033707865	0	0.379807692307692	0.598290598290598	0.905172413793104	0.52	1.19915254237288	0.823529411764706	2.13714285714286	2.13714285714286	0.563745019920319	0.361951219512195	0.435034802784223	0.435034802784223	0.418632788868724	0.482485128883014	0.558202859087815	0.561419472247498	0.442680776014109	0.482900136798906	0.482900136798906	0.530873493975904	0.458791208791209
A26	0.32646420824295	0.292275574112735	0.292275574112735	0.379807692307692	0	0.295918367346939	0.662116040955631	0.411666666666667	0.591036414565826	0.43878954607978	1.35744680851064	1.35744680851064	0.577081615828524	0.364997121473805	0.412577747062889	0.412577747062889	0.392597968069666	0.465004022526146	0.602716468590832	0.640995260663507	0.419467787114846	0.477815699658703	0.477815699658703	0.536468330134357	0.448157669237361
A11	0.332159624413146	0.369747899159664	0.369747899159664	0.598290598290598	0.295918367346939	0	0.450643776824034	0.355704697986577	0.695774647887324	0.655518394648829	1.15358361774744	1.15358361774744	0.566397652237711	0.351793248945148	0.427393785668992	0.427393785668992	0.409151193633952	0.477753464624362	0.559487951807229	0.561076604554865	0.434168272318561	0.476550680786687	0.476550680786687	0.528571428571428	0.450607902735562
A03	0.355704697986577	0.598290598290598	0.598290598290598	0.905172413793104	0.662116040955631	0.450643776824034	0	0.401709401709402	1.5042735042735	0.477310924369748	4.58620689655172	4.58620689655172	0.597938144329897	0.373742721016411	0.453851050286442	0.453851050286442	0.436085219707057	0.507320644216691	0.591836734693878	0.603322949117342	0.461637653127015	0.507972665148064	0.507972665148064	0.563237774030354	0.481311975591152
A29	0.288481141692151	1.8034188034188	1.8034188034188	0.52	0.411666666666667	0.355704697986577	0.401709401709402	0	0.446808510638298	0.408743169398907	0.641646489104116	0.641646489104116	0.507001166861144	0.335239771227453	0.397727272727273	0.397727272727273	0.381974248927039	0.435793143521209	0.501193317422434	0.491891891891892	0.384092098377813	0.434652278177458	0.434652278177458	0.473546701502286	0.391566265060241
A31	0.23972602739726	1.48305084745763	1.48305084745763	1.19915254237288	0.591036414565826	0.695774647887324	1.5042735042735	0.446808510638298	0	0.690740740740741	2.11111111111111	2.11111111111111	0.631656804733728	0.396186440677966	0.471069182389937	0.471069182389937	0.4543063773833	0.527496382054993	0.626899696048632	0.632443531827515	0.454140127388535	0.542748091603053	0.542748091603053	0.603228547153781	0.487730061349693
A02	0.589531680440771	0.43878954607978	0.43878954607978	0.823529411764706	0.43878954607978	0.655518394648829	0.477310924369748	0.408743169398907	0.690740740740741	0	0.445147679324894	0.445147679324894	0.477456647398844	0.32952380952381	0.413232733604179	0.413232733604179	0.372881355932203	0.432253800396563	0.544951590594744	0.507320644216691	0.397647058823529	0.441973592772759	0.441973592772759	0.486590038314176	0.444832402234637
A23	0.671578947368421	1.20425531914894	1.20425531914894	2.13714285714286	1.35744680851064	1.15358361774744	4.58620689655172	0.641646489104116	2.11111111111111	0.445147679324894	0	0	0.705631399317406	0.355458036204059	0.495132127955494	0.495132127955494	0.422627737226277	0.499190938511327	0.640478223740393	0.736591179976162	0.449295774647887	0.513304721030043	0.513304721030043	0.577220077220077	0.516379310344828
A24	0.671578947368421	1.20425531914894	1.20425531914894	2.13714285714286	1.35744680851064	1.15358361774744	4.58620689655172	0.641646489104116	2.11111111111111	0.445147679324894	0	0	0.705631399317406	0.355458036204059	0.495132127955494	0.495132127955494	0.422627737226277	0.499190938511327	0.640478223740393	0.736591179976162	0.449295774647887	0.513304721030043	0.513304721030043	0.577220077220077	0.516379310344828
B13	0.526153846153846	0.470430107526882	0.470430107526882	0.563745019920319	0.577081615828524	0.566397652237711	0.597938144329897	0.507001166861144	0.631656804733728	0.477456647398844	0.705631399317406	0.705631399317406	0	0.912951167728238	0.793103448275862	0.793103448275862	0.650366748166259	0.482005141388175	0.756983240223464	0.745391705069124	0.933078393881453	0.552594670406732	0.552594670406732	0.791878172588833	1.87391304347826
B51	0.425249169435216	0.293018682399213	0.293018682399213	0.361951219512195	0.364997121473805	0.351793248945148	0.373742721016411	0.335239771227453	0.396186440677966	0.32952380952381	0.355458036204059	0.355458036204059	0.912951167728238	0	0.605543710021322	0.605543710021322	0.386329866270431	0.246212121212121	0.344306049822064	0.328505595786702	0.470812182741117	0.316239316239316	0.316239316239316	0.438444924406047	0.84549356223176
B58	0.482485128883014	0.345086705202312	0.345086705202312	0.435034802784223	0.412577747062889	0.427393785668992	0.453851050286442	0.397727272727273	0.471069182389937	0.413232733604179	0.495132127955494	0.495132127955494	0.793103448275862	0.605543710021322	0	0	0.508620689655172	0.248595505617978	0.656381486676017	0.533516988062443	0.619047619047619	0.504225352112676	0.504225352112676	0.731748726655348	1.56331877729258
B35	0.482485128883014	0.345086705202312	0.345086705202312	0.435034802784223	0.412577747062889	0.427393785668992	0.453851050286442	0.397727272727273	0.471069182389937	0.413232733604179	0.495132127955494	0.495132127955494	0.793103448275862	0.605543710021322	0	0	0.508620689655172	0.248595505617978	0.656381486676017	0.533516988062443	0.619047619047619	0.504225352112676	0.504225352112676	0.731748726655348	1.56331877729258
B15	0.46606648199446	0.326100060277276	0.326100060277276	0.418632788868724	0.392597968069666	0.409151193633952	0.436085219707057	0.381974248927039	0.4543063773833	0.372881355932203	0.422627737226277	0.422627737226277	0.650366748166259	0.386329866270431	0.508620689655172	0.508620689655172	0	0.301724137931034	0.667796610169491	0.527083333333333	0.723837209302326	0.48469387755102	0.48469387755102	0.501404494382023	1.14161849710983
B56	0.543577981651376	0.380513495720869	0.380513495720869	0.482485128883014	0.465004022526146	0.477753464624362	0.507320644216691	0.435793143521209	0.527496382054993	0.432253800396563	0.499190938511327	0.499190938511327	0.482005141388175	0.246212121212121	0.248595505617978	0.248595505617978	0.301724137931034	0	1.22943722943723	0.674061433447099	0.538961038961039	0.769565217391304	0.769565217391304	0.712643678160919	0.849462365591398
B08	0.681159420289855	0.488980716253443	0.488980716253443	0.558202859087815	0.602716468590832	0.559487951807229	0.591836734693878	0.501193317422434	0.626899696048632	0.544951590594744	0.640478223740393	0.640478223740393	0.756983240223464	0.344306049822064	0.656381486676017	0.656381486676017	0.667796610169491	1.22943722943723	0	0.607042253521127	0.93304535637149	285	285	3.10434782608696	1.00643776824034
B27	0.495476687543493	0.456935630099728	0.456935630099728	0.561419472247498	0.640995260663507	0.561076604554865	0.603322949117342	0.491891891891892	0.632443531827515	0.507320644216691	0.736591179976162	0.736591179976162	0.745391705069124	0.328505595786702	0.533516988062443	0.533516988062443	0.527083333333333	0.674061433447099	0.607042253521127	0	0.368372093023256	0.55042735042735	0.55042735042735	0.690322580645161	0.477053140096618
B18	0.490629183400268	0.350702576112412	0.350702576112412	0.442680776014109	0.419467787114846	0.434168272318561	0.461637653127015	0.384092098377813	0.454140127388535	0.397647058823529	0.449295774647887	0.449295774647887	0.933078393881453	0.470812182741117	0.619047619047619	0.619047619047619	0.723837209302326	0.538961038961039	0.93304535637149	0.368372093023256	0	0.462039045553145	0.462039045553145	0.492254733218589	0.946902654867257
B38	0.590945836701698	0.387543252595156	0.387543252595156	0.482900136798906	0.477815699658703	0.476550680786687	0.507972665148064	0.434652278177458	0.542748091603053	0.441973592772759	0.513304721030043	0.513304721030043	0.552594670406732	0.316239316239316	0.504225352112676	0.504225352112676	0.48469387755102	0.769565217391304	285	0.55042735042735	0.462039045553145	0	0	0.608695652173913	0.459051724137931
B39	0.590945836701698	0.387543252595156	0.387543252595156	0.482900136798906	0.477815699658703	0.476550680786687	0.507972665148064	0.434652278177458	0.542748091603053	0.441973592772759	0.513304721030043	0.513304721030043	0.552594670406732	0.316239316239316	0.504225352112676	0.504225352112676	0.48469387755102	0.769565217391304	285	0.55042735042735	0.462039045553145	0	0	0.608695652173913	0.459051724137931
B14	0.66003616636528	0.426717557251908	0.426717557251908	0.530873493975904	0.536468330134357	0.528571428571428	0.563237774030354	0.473546701502286	0.603228547153781	0.486590038314176	0.577220077220077	0.577220077220077	0.791878172588833	0.438444924406047	0.731748726655348	0.731748726655348	0.501404494382023	0.712643678160919	3.10434782608696	0.690322580645161	0.492254733218589	0.608695652173913	0.608695652173913	0	0.615606936416185
B37	0.562956945572705	0.363699582753825	0.363699582753825	0.458791208791209	0.448157669237361	0.450607902735562	0.481311975591152	0.391566265060241	0.487730061349693	0.444832402234637	0.516379310344828	0.516379310344828	1.87391304347826	0.84549356223176	1.56331877729258	1.56331877729258	1.14161849710983	0.849462365591398	1.00643776824034	0.477053140096618	0.946902654867257	0.459051724137931	0.459051724137931	0.615606936416185	0
