JunctionID	SJ.Chr	SJ.Start	SJ.Stop	SJ.Strand	Gene	SRR924570.M.proventriculus	SRR924573.F.proventriculus	SRR924582.M.spleen	SRR924585.F.spleen	SRR924202.M.adrenal_gland	SRR924485.M.adipose	SRR924539.F.adipose	SRR924540.M.cerebellum	SRR924541.F.cerebellum	SRR924542.M.cerebrum	SRR924546.F.cerebrum	SRR924547.M.testes	SRR924548.F.ovary	SRR924549.M.heart	SRR924550.F.heart	SRR924551.M.hypothalamus	SRR924552.F.hypothalamus	SRR924553.M.kidney	SRR924554.F.kidney	SRR924555.M.liver	SRR924556.F.liver	SRR924557.M.lung	SRR924558.F.lung	SRR924559.M.breast_muscle	SRR924561.F.breast_muscle	SRR924564.M.sciatic nerve	SRR924567.F.sciatic nerve
Contig1_133	Contig1	350115	350199	+	RJF.Contig1.LOC43.YLEC18f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_123	Contig1	334614	334910	+	RJF.Contig1.LOC41.YLEC17e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_064	Contig1	235194	235398	-	RJF.Contig1.LOC24.YLEC10c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_009	Contig1	158731	158907	+	RJF.Contig1.LOC11.ZNFY2a	0	0.0147	0.0465	0	0.133	0	0.125	0.348	0.212	0.207	0.172	0	0	0	0.0755	0.274	0.232	0	0.167	0.0513	0.0541	0.027	0.0909	0	0.0167	0.184	0.25
Contig1_115	Contig1	327001	327095	-	RJF.Contig1.LOC39.MHCY13e	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0.0408	0
Contig1_030	Contig1	192904	193144	-	RJF.Contig1.LOC16.MHCY3h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_070	Contig1	243801	243926	+	RJF.Contig1.LOC27.MHCY7l	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.0189	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_059	Contig1	232005	232097	-	RJF.Contig1.LOC23.YLEC9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00794	0	0	0.027	0	0	0	0	0
Contig1_114	Contig1	327372	327616	-	RJF.Contig1.LOC39.MHCY13e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_020	Contig1	174639	174718	-	RJF.Contig1.LOC13.MHCY1d	0.0351	0.0735	1.26	0.658	0.875	0.59	0.6	0.0758	0.106	0.103	0.138	0	0.172	0.792	0.698	0.286	0.061	0.133	2.02	0.462	0.324	1.38	1.21	0.0408	0.117	2.11	1.18
Contig1_043	Contig1	210357	210451	-	RJF.Contig1.LOC19.MHCY5f	0	0	0.256	0.105	0.117	0.0256	0.05	0.0455	0.0152	0	0	0	0	0.0833	0.0943	0	0.0366	0	0.429	0.0256	0.027	0.162	0.394	0	0	0.204	0.0714
Contig1_067	Contig1	234330	234618	-	RJF.Contig1.LOC24.YLEC10c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_047	Contig1	209393	209564	-	RJF.Contig1.LOC19.MHCY5f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_027	Contig1	186592	186672	-	RJF.Contig1.LOC14.MHCY2v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_117	Contig1	326429	326542	-	RJF.Contig1.LOC39.MHCY13e	0	0.0147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159	0	0	0	0	0	0	0	0
Contig1_140	Contig1	354545	354628	+	RJF.Contig1.LOC44.MHCY15m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_061	Contig1	231365	231653	-	RJF.Contig1.LOC23.YLEC9b	0	0.147	4.58	1.87	0.0917	0.436	1.1	0.0152	0.0152	0	0.069	0	0	0.375	0.132	0.0238	0.0122	0.156	0.302	0.179	0.459	0.541	0.455	0.0204	0.0667	0.296	0.393
Contig1_085	Contig1	269218	269302	+	RJF.Contig1.LOC31.YLEC13d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_134	Contig1	350305	350601	+	RJF.Contig1.LOC43.YLEC18f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_160	Contig1	384173	384284	-	RJF.Contig1.LOC50.MHCY18i	0	0.0147	0.0465	0.0789	0	0.103	0.025	0	0	0	0	0	0	0	0.0566	0	0	0	0.0238	0	0	0	0.152	0	0	0.0306	0
Contig1_166	Contig1	396079	396161	-	RJF.Contig1.LOC51.MHCY19t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_156	Contig1	385617	385742	-	RJF.Contig1.LOC50.MHCY18i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119	0	0	0	0	0	0	0	0	0	0.0102	0
Contig1_131	Contig1	349542	349731	+	RJF.Contig1.LOC43.YLEC18f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_031	Contig1	192533	192627	-	RJF.Contig1.LOC16.MHCY3h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_090	Contig1	274985	275229	-	RJF.Contig1.LOC32.MHCY9i	0	0	0.0465	0.0263	0	0.0769	0	0.0152	0	0	0	0	0	0	0.0189	0.0119	0	0.0222	0	0	0	0.027	0.0303	0	0	0	0
Contig1_110	Contig1	312716	312798	+	RJF.Contig1.LOC37.MHCY12q	0	0.382	2.16	1.89	0.833	1.15	3.25	0.106	0.0909	0.103	0.103	0.2	0.517	0.979	1.68	0.0952	0.0854	0.444	2.13	0.872	1.11	2.16	4.88	0.102	0.1	1.1	1.64
Contig1_019	Contig1	174992	175086	-	RJF.Contig1.LOC13.MHCY1d	0.0351	0.25	6.44	4.71	1.17	1.41	3.23	0.242	0.288	0.103	0.207	0.2	0.793	1.46	2.15	0.31	0.159	0.889	2.76	0.872	0.838	5.97	8.52	0.0816	0.117	3.49	1.54
Contig1_069	Contig1	233553	233775	-	RJF.Contig1.LOC24.YLEC10c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_083	Contig1	268637	268832	+	RJF.Contig1.LOC31.YLEC13d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_171	Contig1	408483	408562	-	RJF.Contig1.LOC52.MHCY20o	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_119	Contig1	326020	326204	-	RJF.Contig1.LOC39.MHCY13e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0	0
Contig1_077	Contig1	264322	264566	-	RJF.Contig1.LOC30.MHCY8a	0	0	0.14	0.211	0.00833	0.0769	0.05	0	0	0	0	0	0	0.0625	0.0377	0	0	0	0.00794	0	0	0.162	0.273	0	0	0.122	0
Contig1_144	Contig1	374448	374692	-	RJF.Contig1.LOC48.MHCY17a	0	0	0.14	0.211	0.00833	0.0769	0.05	0	0	0	0	0	0	0.0625	0.0377	0	0	0	0.00794	0	0	0.189	0.273	0	0	0.112	0
Contig1_099	Contig1	285953	286035	-	RJF.Contig1.LOC33.MHCY10t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_088	Contig1	270259	270481	+	RJF.Contig1.LOC31.YLEC13d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_158	Contig1	384740	384834	-	RJF.Contig1.LOC50.MHCY18i	0	0	0.0465	0.0526	0.0167	0.0769	0.025	0	0.0152	0	0	0	0	0	0.0189	0	0	0.0222	0.0159	0	0	0.135	0.182	0	0	0.0204	0.0357
Contig1_003	Contig1	128081	128163	+	RJF.Contig1.LOC06.MHCY2B1a	0	0	0	0	0.00833	0	0.05	0.0152	0	0	0.0345	0	0	0	0	0	0	0	0.0238	0	0	0	0	0	0	0	0
Contig1_104	Contig1	298357	298436	-	RJF.Contig1.LOC34.MHCY11o	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_053	Contig1	229041	229133	-	RJF.Contig1.LOC22.YLEC8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_138	Contig1	353646	353900	+	RJF.Contig1.LOC44.MHCY15m	0	0.0294	0.14	0.0789	0	0.154	0.05	0	0	0	0	0	0	0	0.0189	0	0	0.0444	0.0159	0	0	0.108	0.364	0.0204	0	0.0408	0.0357
Contig1_094	Contig1	273856	274013	-	RJF.Contig1.LOC32.MHCY9i	0	0	0	0.0263	0	0.0769	0.025	0.0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0
Contig1_037	Contig1	205141	205385	-	RJF.Contig1.LOC17.MHCY4v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_151	Contig1	379090	379185	+	RJF.Contig1.LOC49.YLEC19d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_054	Contig1	228801	228885	-	RJF.Contig1.LOC22.YLEC8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_163	Contig1	397306	397431	-	RJF.Contig1.LOC51.MHCY19t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_074	Contig1	245272	245392	+	RJF.Contig1.LOC27.MHCY7l	0	0.0441	1.28	0.711	0.467	0.308	0.2	0.273	0.0303	0.069	0.172	0	0.069	0.167	0.321	0.0357	0.0732	0	1.33	0.103	0.027	0.243	0.515	0.0612	0.0833	0.878	0.714
Contig1_113	Contig1	327878	328003	-	RJF.Contig1.LOC39.MHCY13e	0	0	0	0	0.00833	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00794	0	0	0	0	0	0	0.0102	0.0357
Contig1_068	Contig1	233883	234147	-	RJF.Contig1.LOC24.YLEC10c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
