A01	A11	A03	A24	A26	A02	B15	B56	B51	B58	B35	B27	B13	A23	B14	B18	A30	B38	B39	B08	B37	A29	A32	A31	A74
A01	0	804	3.0609756097561	3.77966101694915	1321	3.0609756097561	1513	1513	1529	1537	1537	1714	1910	2.8865096359743	7.69787234042553	7.83620689655172	3.89917695473251	7.88311688311688	7.88311688311688	3.95426195426195	3.95426195426195	3.60842105263158	3.60842105263158	3.60842105263158	3.60842105263158
A11	804	0	0.896946564885496	2.89430894308943	786	0.896946564885496	960	960	799	803	803	967	1141	1.66846361185984	4.27642276422764	4.36776859504132	1.34967741935484	4.39419087136929	4.39419087136929	4.24696356275304	4.24696356275304	1.16380449141347	1.16380449141347	1.16380449141347	1.16380449141347
A03	3.0609756097561	0.896946564885496	0	1.55402750491159	3.32692307692308	460	954	954	1.58483033932136	1.96551724137931	1.96551724137931	1.89920948616601	2.24110671936759	968	1.23228346456693	1.59	786	1.59839357429719	1.59839357429719	8.696	8.696	627	627	627	627
A24	3.77966101694915	2.89430894308943	1.55402750491159	0	5.53968253968254	1.22986247544204	1496	1496	1328	1154	1154	1145	1324	0.979253112033195	1143	974	2.26494023904382	975	975	967	967	1.62932790224033	1.62932790224033	1.62932790224033	1.62932790224033
A26	1321	786	3.32692307692308	5.53968253968254	0	3.97692307692308	461	461	2.86290322580645	3.61475409836066	3.61475409836066	4.184	4.88	5.01224489795918	1.87843137254902	2.26494023904382	4.0546875	2.276	2.276	3.06806282722513	3.06806282722513	3.5	3.5	3.5	3.5
A02	3.0609756097561	0.896946564885496	460	1.22986247544204	3.97692307692308	0	1126	1126	1.92415169660679	1.61866125760649	1.61866125760649	1.56521739130435	1.56521739130435	797	1.55708661417323	1.258	786	1.26506024096386	1.26506024096386	7.32	7.32	465	465	465	465
B15	1513	960	954	1496	461	1126	0	0	0.94672131147541	1.625	1.625	2.89430894308943	3.57723577235772	972	2.87854251012146	3.63374485596708	790	3.65289256198347	3.65289256198347	7.41129032258065	7.41129032258065	630	630	630	630
B56	1513	960	954	1496	461	1126	0	0	0.94672131147541	1.625	1.625	2.89430894308943	3.57723577235772	972	2.87854251012146	3.63374485596708	790	3.65289256198347	3.65289256198347	7.41129032258065	7.41129032258065	630	630	630	630
B51	1529	799	1.58483033932136	1328	2.86290322580645	1.92415169660679	0.94672131147541	0.94672131147541	0	155	155	472	636	1.70675105485232	471	638	1.27732793522267	639	639	3.67634854771784	3.67634854771784	0.975206611570248	0.975206611570248	0.975206611570248	0.975206611570248
B58	1537	803	1.96551724137931	1154	3.61475409836066	1.61866125760649	1.625	1.625	155	0	0	313	474	1.37393162393162	638	476	1.30390143737166	476	476	3.0379746835443	3.0379746835443	0.657563025210084	0.657563025210084	0.657563025210084	0.657563025210084
