A02	A30	A03	A11	A31	A74	A01	A26	A29	B56	B35	B15	B18	B39	B08	B14	A32	A23	A24	B58	B27	B38	B51	B13	B37
A02	0	1.80891719745223	852	852	1.78361344537815	673	1210	1230	1426	6.38114754098361	6.3640081799591	4.36377708978328	5.09582689335394	3.33333333333333	6.32586558044806	3.31095755182626	2431	1997	1997	5.54583333333333	7.40368852459016	4.1140873015873	7.91820040899795	2.8229255774166	4.10393700787402
A30	1.80891719745223	0	0	0	326	0.338204592901879	1.34959349593496	2.20425531914894	1.44444444444444	1.93323100537222	2.46018376722818	1.98773841961853	2.31203263086336	1.82744063324538	2.26295731707317	1.6859243697479	3.63747454175153	4.44534412955466	4.44534412955466	1.60675965665236	2.28472755180353	2.24749340369393	3.04823889739663	1.65002423654872	1.87716863289382
A03	852	0	0	0	0.673553719008264	162	664	1036	676	3.3364238410596	4.2443857331572	3.18211559432933	3.70076169749728	2.65771297006907	3.90657894736842	2.45225362872422	1786	2196	2196	2.33437256430242	3.94304635761589	3.26861089792786	5.25891677675033	2.31880108991826	3.00221975582686
A11	852	0	0	0	0.673553719008264	162	664	1036	676	3.3364238410596	4.2443857331572	3.18211559432933	3.70076169749728	2.65771297006907	3.90657894736842	2.45225362872422	1786	2196	2196	2.33437256430242	3.94304635761589	3.26861089792786	5.25891677675033	2.31880108991826	3.00221975582686
A31	1.78361344537815	326	0.673553719008264	0.673553719008264	0	0.331958762886598	1.32997987927565	2.17263157894737	2.18604651162791	2.24715693707354	2.41981845688351	1.95690235690236	2.2755376344086	1.79770594369135	2.22590361445783	1.65905552672548	3.5866935483871	4.374	4.374	1.95523329129887	2.61410159211524	2.21011470281543	2.99697428139183	1.62308429118774	1.8477366255144
A74	673	0.338204592901879	162	162	0.331958762886598	0	492	853	854	3.6221928665786	3.91952506596306	2.92056583242655	3.42236699239957	2.46018376722818	3.58923884514436	2.26295731707317	1586	1984	1984	2.84554455445545	4.2443857331572	3.04823889739663	4.89841688654354	2.14479945615228	2.74307862679956
A01	1210	1.34959349593496	664	664	1.32997987927565	492	0	668	669	5.10392156862745	5.53033268101761	3.28833551769332	3.87058823529412	2.90142180094787	5.06042884990253	2.66415094339623	1571	1965	1965	2.30924855491329	6.00196078431372	3.60663507109005	6.93933463796478	2.24715693707354	3.668
A26	1230	2.20425531914894	1036	1036	2.17263157894737	853	668	0	680	2.56081081081081	2.83288409703504	3.0111234705228	2.50721420643729	1.81519185591229	2.53825503355705	1.63678877630553	2005	2429	2429	2.93124368048534	4.38108108108108	2.34925606891151	3.72371967654987	2.21279554937413	3.35067873303167
A29	1426	1.44444444444444	676	676	2.18604651162791	854	669	680	0	3.1506105834464	4.06224627875507	3.29162011173184	3.55072463768116	2.55468135326515	3.72371967654987	2.34925606891151	2009	2433	2433	2.41646682653877	4.07734056987788	3.16679779701023	5.07848443843031	2.40083798882682	3.64886363636364
B56	6.38114754098361	1.93323100537222	3.3364238410596	3.3364238410596	2.24715693707354	3.6221928665786	5.10392156862745	2.56081081081081	3.1506105834464	0	1004	1381	1010	1.95906432748538	826	1.60582524271845	3.50128865979381	6.91796875	6.91796875	4.46233766233766	1758	4.22222222222222	2164	5.18452380952381	2409
B35	6.3640081799591	2.46018376722818	4.2443857331572	4.2443857331572	2.41981845688351	3.91952506596306	5.53033268101761	2.83288409703504	4.06224627875507	1004	0	488	159	0.307392996108949	158	0.62015503875969	3.78893178893179	7.39766081871345	7.39766081871345	6.54150197628458	2376	2.30544747081712	1003	3.11089108910891	1388
B15	4.36377708978328	1.98773841961853	3.18211559432933	3.18211559432933	1.95690235690236	2.92056583242655	3.28833551769332	3.0111234705228	3.29162011173184	1381	488	0	324	0.968253968253968	657	1.300395256917	2.82377919320594	5.13864306784661	5.13864306784661	3.92866578599736	1972	3.12103174603175	1571	2.05454545454545	843
B18	5.09582689335394	2.31203263086336	3.70076169749728	3.70076169749728	2.2755376344086	3.42236699239957	3.87058823529412	2.50721420643729	3.55072463768116	1010	159	324	0	0.314851485148515	321	0.633136094674556	3.30720338983051	5.89101620029455	5.89101620029455	4.56068601583113	2391	2.36237623762376	1192	2.79838709677419	1207
B39	3.33333333333333	1.82744063324538	2.65771297006907	2.65771297006907	1.79770594369135	2.46018376722818	2.90142180094787	1.81519185591229	2.55468135326515	1.95906432748538	0.307392996108949	0.968253968253968	0.314851485148515	0	0.62015503875969	158	2.37360178970917	3.83301886792453	3.83301886792453	3.40861244019139	4.22222222222222	1005	2.30544747081712	1.50814956855225	2.80606060606061
B08	6.32586558044806	2.26295731707317	3.90657894736842	3.90657894736842	2.22590361445783	3.58923884514436	5.06042884990253	2.53825503355705	3.72371967654987	826	158	657	321	0.62015503875969	0	0.304431599229287	3.46991037131882	6.86019417475728	6.86019417475728	6.99212598425197	2161	2.6531007751938	1183	3.48126232741617	1579
B14	3.31095755182626	1.6859243697479	2.45225362872422	2.45225362872422	1.65905552672548	2.26295731707317	2.66415094339623	1.63678877630553	2.34925606891151	1.60582524271845	0.62015503875969	1.300395256917	0.633136094674556	158	0.304431599229287	0	2.1833704528582	3.56056338028169	3.56056338028169	3.63047619047619	3.79805825242718	1185	2.6531007751938	1.68606870229008	3.17907444668008
A32	2431	3.63747454175153	1786	1786	3.5866935483871	1586	1571	2005	2009	3.50128865979381	3.78893178893179	2.82377919320594	3.30720338983051	2.37360178970917	3.46991037131882	2.1833704528582	0	657	657	1.33590733590734	2.14561855670103	1.69873228933632	2.66023166023166	1.33245033112583	2.89513513513513
A23	1997	4.44534412955466	2196	2196	4.374	1984	1965	2429	2433	6.91796875	7.39766081871345	5.13864306784661	5.89101620029455	3.83301886792453	6.86019417475728	3.56056338028169	657	0	0	2.74007936507937	3.830078125	2.45094339622641	4.635477582846	1.89015459723352	4.53303303303303
A24	1997	4.44534412955466	2196	2196	4.374	1984	1965	2429	2433	6.91796875	7.39766081871345	5.13864306784661	5.89101620029455	3.83301886792453	6.86019417475728	3.56056338028169	657	0	0	2.74007936507937	3.830078125	2.45094339622641	4.635477582846	1.89015459723352	4.53303303303303
B58	5.54583333333333	1.60675965665236	2.33437256430242	2.33437256430242	1.95523329129887	2.84554455445545	2.30924855491329	2.93124368048534	2.41646682653877	4.46233766233766	6.54150197628458	3.92866578599736	4.56068601583113	3.40861244019139	6.99212598425197	3.63047619047619	1.33590733590734	2.74007936507937	2.74007936507937	0	2.16753246753247	2.08421052631579	3.89130434782609	1.43950995405819	3.41049798115747
B27	7.40368852459016	2.28472755180353	3.94304635761589	3.94304635761589	2.61410159211524	4.2443857331572	6.00196078431372	4.38108108108108	4.07734056987788	1758	2376	1972	2391	4.22222222222222	2161	3.79805825242718	2.14561855670103	3.830078125	3.830078125	2.16753246753247	0	1.95906432748538	1185	2.00595238095238	1582
B38	4.1140873015873	2.24749340369393	3.26861089792786	3.26861089792786	2.21011470281543	3.04823889739663	3.60663507109005	2.34925606891151	3.16679779701023	4.22222222222222	2.30544747081712	3.12103174603175	2.36237623762376	1005	2.6531007751938	1185	1.69873228933632	2.45094339622641	2.45094339622641	2.08421052631579	1.95906432748538	0	0.307392996108949	0.63183125599233	2.42626262626263
B51	7.91820040899795	3.04823889739663	5.25891677675033	5.25891677675033	2.99697428139183	4.89841688654354	6.93933463796478	3.72371967654987	5.07848443843031	2164	1003	1571	1192	2.30544747081712	1183	2.6531007751938	2.66023166023166	4.635477582846	4.635477582846	3.89130434782609	1185	0.307392996108949	0	1.3029702970297	1200
B13	2.8229255774166	1.65002423654872	2.31880108991826	2.31880108991826	1.62308429118774	2.14479945615228	2.24715693707354	2.21279554937413	2.40083798882682	5.18452380952381	3.11089108910891	2.05454545454545	2.79838709677419	1.50814956855225	3.48126232741617	1.68606870229008	1.33245033112583	1.89015459723352	1.89015459723352	1.43950995405819	2.00595238095238	0.63183125599233	1.3029702970297	0	1.01437371663244
B37	4.10393700787402	1.87716863289382	3.00221975582686	3.00221975582686	1.8477366255144	2.74307862679956	3.668	3.35067873303167	3.64886363636364	2409	1388	843	1207	2.80606060606061	1579	3.17907444668008	2.89513513513513	4.53303303303303	4.53303303303303	3.41049798115747	1582	2.42626262626263	1200	1.01437371663244	0
