JunctionID	SJ.Chr	SJ.Start	SJ.Stop	SJ.Strand	Gene	Copy_Name	Copy_Count	SRR924570.F.	SRR924573.F.	SRR924582.F.	SRR924585.F.	SRR924202.F.	SRR924485.F.	SRR924539.F.	SRR924540.F.	SRR924541.F.	SRR924542.F.	SRR924546.F.	SRR924547.F.	SRR924548.F.	SRR924549.F.	SRR924550.F.	SRR924551.F.	SRR924552.F.	SRR924553.F.	SRR924554.F.	SRR924555.F.	SRR924556.F.	SRR924557.F.	SRR924558.F.	SRR924559.F.	SRR924561.F.	SRR924564.F.	SRR924567.F.
Contig1_133	Contig1	350115	350199	+	RJF.Contig1.LOC43.YLEC18f	YLEC-f	3	0	0	0.00756666666666667	0.025	0.0136666666666667	0.00833333333333333	0.00833333333333333	0	0.0149333333333333	0	0	0	0.0215	0	0	0.00396666666666667	0.004	0	0.00516666666666667	0	0	0.0263	0	0	0	0.043	0
Contig1_123	Contig1	334614	334910	+	RJF.Contig1.LOC41.YLEC17e	YLEC-e	3	0	0	0	0	0.00546666666666667	0	0	0	0	0	0	0	0.0107666666666667	0	0	0	0	0	0.00258333333333333	0	0	0.00876666666666667	0	0	0	0	0
Contig1_064	Contig1	235194	235398	-	RJF.Contig1.LOC24.YLEC10c	YLEC-c	2	0.0254	0.0352	2.41	1.325	0.0164	0.2	0.375	0	0	0.01725	0.01665	0	0.0484	0.092	0.00925	0	0	0.0955	0.031	0.0476	0.0835	0.184	0.2795	0.0096	0.00805	0.0396	0
Contig1_009	Contig1	158731	158907	+	RJF.Contig1.LOC11.ZNFY2a	ZNFY-a	3	0.0282333333333333	0.0187666666666667	0.0983333333333333	0.05	0.155666666666667	0.0916666666666667	0.216666666666667	0.313333333333333	0.278666666666667	0.299	0.311	0	0.0215	0.0883333333333333	0.154333333333333	0.258	0.277	0.0353333333333333	0.199	0.0476666666666667	0.0416666666666667	0.131666666666667	0.117666666666667	0.045	0.0536666666666667	0.211333333333333	0.23
Contig1_115	Contig1	327001	327095	-	RJF.Contig1.LOC39.MHCY13e	MHCY-e	3	0	0.0516666666666667	2.28666666666667	1.51666666666667	0.453333333333333	0.716666666666667	0.7	0.124333333333333	0.0896666666666667	0	0.0776666666666667	0	0.0646666666666667	0.816666666666667	1.42666666666667	0.123	0.0523333333333333	0.134666666666667	0.573333333333333	0.246	0.125	5.76666666666667	8.2	0.096	0.043	3.05666666666667	0.343333333333333
Contig1_030	Contig1	192904	193144	-	RJF.Contig1.LOC16.MHCY3h	MHCY-h	2	0	0.0141	1.66	0.875	0.1395	0.25	0.35	0.02985	0.00745	0.01725	0.03335	0	0.3225	0.1225	0.2595	0.04165	0.006	0.053	0.213	0.0595	0.052	1.04	1.69	0	0.0242	0.391	0.207
Contig1_070	Contig1	243801	243926	+	RJF.Contig1.LOC27.MHCY7l	MHCY-l	2	0	0.02115	0.545	0.4375	0.2335	0.1625	0.2875	0.2835	0.127	0.1205	0.1665	0	0.0805	0.1325	0.3795	0.1785	0.1385	0.0745	0.376	0.143	0.02085	0.03945	0.2355	0.0865	0.105	0.312	0.276
Contig1_059	Contig1	232005	232097	-	RJF.Contig1.LOC23.YLEC9b	YLEC-b	2	0.4575	1.69	136	69.5	2.07	14.95	20.9	0.418	0.291	0.2415	0.4	0.2105	1.63	2.815	3.085	0.244	0.1685	4.49	5.75	4.63	5.8	12	21.25	1.24	1.615	2.64	4.31
Contig1_114	Contig1	327372	327616	-	RJF.Contig1.LOC39.MHCY13e	MHCY-e	3	0.00563333333333333	0.0376666666666667	1.19666666666667	0.756666666666667	0.297666666666667	0.516666666666667	0.3	0.0446666666666667	0.0446666666666667	0.069	0.0443333333333333	0	0.0536666666666667	0.258666666666667	0.803333333333333	0.123	0.0443333333333333	0.127666666666667	0.245333333333333	0.135	0.0763333333333333	2.92	6.3	0.0128333333333333	0.0536666666666667	2.27333333333333	0.241333333333333
Contig1_020	Contig1	174639	174718	-	RJF.Contig1.LOC13.MHCY1d	MHCY-d	1	0.0339	0.0704	1.23	0.625	0.877	0.575	0.6	0.0746	0.104	0.103	0.133	0	0.161	0.776	0.685	0.286	0.0602	0.128	1.98	0.429	0.25	1.34	1.18	0.0385	0.113	2.05	1.14
Contig1_043	Contig1	210357	210451	-	RJF.Contig1.LOC19.MHCY5f	MHCY-f	1	0.797	3.56	144	99.2	7.47	51	65.7	1.48	1.64	0.897	1.37	0.737	6.29	12.7	25.8	1.67	1.23	15.3	29.4	9.6	12.3	105	212	1.25	1.61	18.8	13.5
Contig1_067	Contig1	234330	234618	-	RJF.Contig1.LOC24.YLEC10c	YLEC-c	2	0.01695	0.0705	3.545	1.275	0.168	0.3375	0.965	0.0895	0.02985	0.01725	0.0665	0	0.0484	0.2755	0.2405	0.04165	0.0241	0.053	0.349	0.2975	0.146	0.2765	0.4855	0.02885	0.0565	0.4455	0.4655
Contig1_047	Contig1	209393	209564	-	RJF.Contig1.LOC19.MHCY5f	MHCY-f	1	0	0	0.25	0.175	0.041	0	0.025	0.0149	0.0149	0	0	0	0	0	0.0926	0.0238	0	0	0.178	0.0476	0.0417	0.132	0.118	0	0	0.109	0.069
Contig1_027	Contig1	186592	186672	-	RJF.Contig1.LOC14.MHCY2v	MHCY-v	4	0.004225	0.02825	1.2275	0.7625	0.8025	0.2125	0.62	0.1305	0.097	0.069	0.14175	0.02625	0.09675	0.4275	0.695	0.255	0.08425	0.0585	1.15	0.1965	0.052	1.105	1.0725	0.0625	0.08075	3.925	1.085
Contig1_117	Contig1	326429	326542	-	RJF.Contig1.LOC39.MHCY13e	MHCY-e	3	0	0.0328666666666667	0.713333333333333	0.5	0.483333333333333	0.191666666666667	0.191666666666667	0.0746666666666667	0.114333333333333	0.069	0.0776666666666667	0.0175333333333333	0.0215	0.285666666666667	0.716666666666667	0.115	0.04	0.0426666666666667	0.593333333333333	0.111	0.0626666666666667	1.51666666666667	2.32333333333333	0.0320666666666667	0.0536666666666667	2.63	0.436666666666667
Contig1_140	Contig1	354545	354628	+	RJF.Contig1.LOC44.MHCY15m	MHCY-m	2	0.695	0.52	0.02275	0	0.2665	0.025	0	0	0	0	0	0	0.0805	0.255	0.2965	0	0	0	0.003875	0.0476	0.03125	0	0	0.3845	0.274	0.02475	0.01725
Contig1_061	Contig1	231365	231653	-	RJF.Contig1.LOC23.YLEC9b	YLEC-b	2	0	0.0985	3.465	1.24	0.123	0.3875	0.725	0.0224	0.01495	0	0.0665	0	0	0.2245	0.111	0.0119	0.006	0.0745	0.31	0.2025	0.198	0.3555	0.456	0.01925	0.0805	0.218	0.345
Contig1_085	Contig1	269218	269302	+	RJF.Contig1.LOC31.YLEC13d	YLEC-d	2	0.00845	0	0.01135	0	0.0205	0	0.025	0	0	0.01725	0	0	0.03225	0.0102	0.0185	0.00595	0	0	0.0349	0	0	0.066	0	0	0	0.094	0
Contig1_134	Contig1	350305	350601	+	RJF.Contig1.LOC43.YLEC18f	YLEC-f	3	0	0.0047	0.0303	0.0416666666666667	0.0191333333333333	0.00833333333333333	0.0166666666666667	0	0	0	0	0.0175333333333333	0.172	0	0	0	0	0	0.00258333333333333	0	0.00693333333333333	0.00876666666666667	0	0.0064	0	0	0.0115
