JunctionID	SJ.Chr	SJ.Start	SJ.Stop	SJ.Strand	Gene	SRR924570.M.proventriculus	SRR924573.F.proventriculus	SRR924582.M.spleen	SRR924585.F.spleen	SRR924202.M.adrenal_gland	SRR924485.M.adipose	SRR924539.F.adipose	SRR924540.M.cerebellum	SRR924541.F.cerebellum	SRR924542.M.cerebrum	SRR924546.F.cerebrum	SRR924547.M.testes	SRR924548.F.ovary	SRR924549.M.heart	SRR924550.F.heart	SRR924551.M.hypothalamus	SRR924552.F.hypothalamus	SRR924553.M.kidney	SRR924554.F.kidney	SRR924555.M.liver	SRR924556.F.liver	SRR924557.M.lung	SRR924558.F.lung	SRR924559.M.breast_muscle	SRR924561.F.breast_muscle	SRR924564.M.sciatic nerve	SRR924567.F.sciatic nerve
Contig1_133	Contig1	350115	350199	+	RJF.Contig1.LOC43.YLEC18f	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 3 m)	(0 u : 5 m)	(0 u : 1 m)	(0 u : 1 m)	(No Support?)	(0 u : 3 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 1 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(0 u : 3 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 13 m)	(No Support?)
Contig1_123	Contig1	334614	334910	+	RJF.Contig1.LOC41.YLEC17e	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)
Contig1_064	Contig1	235194	235398	-	RJF.Contig1.LOC24.YLEC10c	(0 u : 3 m)	(0 u : 5 m)	(0 u : 212 m)	(0 u : 106 m)	(0 u : 4 m)	(0 u : 16 m)	(0 u : 30 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 1 m)	(No Support?)	(0 u : 3 m)	(0 u : 9 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 9 m)	(0 u : 8 m)	(0 u : 4 m)	(0 u : 8 m)	(0 u : 14 m)	(0 u : 19 m)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 8 m)	(No Support?)
Contig1_009	Contig1	158731	158907	+	RJF.Contig1.LOC11.ZNFY2a	(0 u : 5 m)	(1 u : 3 m)	(2 u : 11 m)	(0 u : 6 m)	(16 u : 41 m)	(0 u : 11 m)	(5 u : 21 m)	(23 u : 40 m)	(14 u : 42 m)	(6 u : 20 m)	(5 u : 23 m)	(No Support?)	(0 u : 2 m)	(0 u : 13 m)	(4 u : 21 m)	(23 u : 42 m)	(19 u : 50 m)	(0 u : 5 m)	(21 u : 56 m)	(2 u : 4 m)	(2 u : 4 m)	(1 u : 14 m)	(3 u : 9 m)	(0 u : 7 m)	(1 u : 9 m)	(18 u : 46 m)	(7 u : 13 m)
Contig1_115	Contig1	327001	327095	-	RJF.Contig1.LOC39.MHCY13e	(No Support?)	(0 u : 11 m)	(1 u : 301 m)	(0 u : 182 m)	(0 u : 166 m)	(0 u : 86 m)	(0 u : 84 m)	(0 u : 25 m)	(0 u : 18 m)	(No Support?)	(0 u : 7 m)	(No Support?)	(0 u : 6 m)	(0 u : 120 m)	(0 u : 231 m)	(0 u : 31 m)	(0 u : 13 m)	(0 u : 19 m)	(0 u : 222 m)	(0 u : 31 m)	(0 u : 18 m)	(0 u : 658 m)	(1 u : 837 m)	(0 u : 15 m)	(0 u : 8 m)	(4 u : 922 m)	(0 u : 30 m)
Contig1_030	Contig1	192904	193144	-	RJF.Contig1.LOC16.MHCY3h	(No Support?)	(0 u : 2 m)	(0 u : 146 m)	(0 u : 70 m)	(0 u : 34 m)	(0 u : 20 m)	(0 u : 28 m)	(0 u : 4 m)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 2 m)	(No Support?)	(0 u : 20 m)	(0 u : 12 m)	(0 u : 28 m)	(0 u : 7 m)	(0 u : 1 m)	(0 u : 5 m)	(0 u : 55 m)	(0 u : 5 m)	(0 u : 5 m)	(0 u : 79 m)	(0 u : 115 m)	(No Support?)	(0 u : 3 m)	(0 u : 79 m)	(0 u : 12 m)
Contig1_070	Contig1	243801	243926	+	RJF.Contig1.LOC27.MHCY7l	(No Support?)	(0 u : 3 m)	(0 u : 48 m)	(0 u : 35 m)	(0 u : 57 m)	(0 u : 13 m)	(2 u : 21 m)	(0 u : 38 m)	(0 u : 17 m)	(0 u : 7 m)	(0 u : 10 m)	(No Support?)	(0 u : 5 m)	(0 u : 13 m)	(1 u : 40 m)	(0 u : 30 m)	(0 u : 23 m)	(0 u : 7 m)	(0 u : 97 m)	(0 u : 12 m)	(0 u : 2 m)	(0 u : 3 m)	(0 u : 16 m)	(0 u : 9 m)	(0 u : 13 m)	(0 u : 63 m)	(0 u : 16 m)
Contig1_059	Contig1	232005	232097	-	RJF.Contig1.LOC23.YLEC9b	(0 u : 54 m)	(0 u : 240 m)	(0 u : 11974 m)	(0 u : 5549 m)	(0 u : 505 m)	(0 u : 1196 m)	(0 u : 1672 m)	(0 u : 56 m)	(0 u : 39 m)	(0 u : 14 m)	(0 u : 24 m)	(0 u : 8 m)	(0 u : 101 m)	(0 u : 276 m)	(0 u : 333 m)	(0 u : 41 m)	(0 u : 28 m)	(0 u : 422 m)	(1 u : 1486 m)	(0 u : 389 m)	(0 u : 558 m)	(1 u : 912 m)	(0 u : 1444 m)	(0 u : 129 m)	(0 u : 200 m)	(0 u : 533 m)	(0 u : 250 m)
Contig1_114	Contig1	327372	327616	-	RJF.Contig1.LOC39.MHCY13e	(0 u : 1 m)	(0 u : 8 m)	(0 u : 158 m)	(0 u : 91 m)	(0 u : 109 m)	(0 u : 62 m)	(0 u : 36 m)	(0 u : 9 m)	(0 u : 9 m)	(0 u : 6 m)	(0 u : 4 m)	(No Support?)	(0 u : 5 m)	(0 u : 38 m)	(0 u : 130 m)	(0 u : 31 m)	(0 u : 11 m)	(0 u : 18 m)	(0 u : 95 m)	(0 u : 17 m)	(0 u : 11 m)	(0 u : 333 m)	(0 u : 642 m)	(0 u : 2 m)	(0 u : 10 m)	(0 u : 689 m)	(0 u : 21 m)
Contig1_020	Contig1	174639	174718	-	RJF.Contig1.LOC13.MHCY1d	(2 u : 0 m)	(5 u : 0 m)	(54 u : 0 m)	(25 u : 0 m)	(105 u : 2 m)	(23 u : 0 m)	(24 u : 0 m)	(5 u : 0 m)	(7 u : 0 m)	(3 u : 0 m)	(4 u : 0 m)	(No Support?)	(5 u : 0 m)	(38 u : 0 m)	(37 u : 0 m)	(24 u : 0 m)	(5 u : 0 m)	(6 u : 0 m)	(254 u : 1 m)	(18 u : 0 m)	(12 u : 0 m)	(51 u : 0 m)	(40 u : 0 m)	(2 u : 0 m)	(7 u : 0 m)	(207 u : 0 m)	(33 u : 0 m)
