pair_gene1	pair_gene2	pair_dN	pair_dS	pair_dN_dS
MHCY13e	MHCYa	0.0527	0.1044	0.504306220095694
5.1_Line_N	MHCYa	0.0724	0.1633	0.443084455324357
5.1_Line_N	MHCY13e	0.0647	0.1615	0.400371287128713
7.1_YFV_CDS	MHCYa	0.0861	0.1587	0.542191435768262
7.1_YFV_CDS	MHCY13e	0.0506	0.157	0.322087842138765
7.1_YFV_CDS	5.1_Line_N	0.0603	0.1204	0.500414937759336
8.1_Line_N	MHCYa	0.078	0.114	0.683610867659947
8.1_Line_N	MHCY13e	0.0584	0.1127	0.517730496453901
8.1_Line_N	5.1_Line_N	0.0467	0.085	0.54876615746181
8.1_Line_N	7.1_YFV_CDS	0.0369	0.0256	1.43579766536965
MHCY1d	MHCYa	0.0741	0.143	0.517819706498952
MHCY1d	MHCY13e	0.0546	0.1415	0.385593220338983
MHCY1d	5.1_Line_N	0.0448	0.0778	0.575096277278562
MHCY1d	7.1_YFV_CDS	0.022	0.0386	0.568475452196382
MHCY1d	8.1_Line_N	0.022	0.0126	1.73228346456693
