pair_gene1	pair_gene2	pair_dN	pair_dS	pair_dN_dS
A11	A01	0.0804	0	804
A03	A01	0.1506	0.0491	3.0609756097561
A03	A11	0.0705	0.0785	0.896946564885496
A24	A01	0.0892	0.0235	3.77966101694915
A24	A11	0.0712	0.0245	2.89430894308943
A24	A03	0.0791	0.0508	1.55402750491159
A26	A01	0.1321	0	1321
A26	A11	0.0786	0	786
A26	A03	0.0865	0.0259	3.32692307692308
A26	A24	0.1396	0.0251	5.53968253968254
A02	A01	0.1506	0.0491	3.0609756097561
A02	A11	0.0705	0.0785	0.896946564885496
A02	A03	0.046	0	460
A02	A24	0.0626	0.0508	1.22986247544204
A02	A26	0.1034	0.0259	3.97692307692308
B15	A01	0.1513	0	1513
B15	A11	0.096	0	960
B15	A03	0.0954	0	954
B15	A24	0.1496	0	1496
B15	A26	0.0461	0	461
B15	A02	0.1126	0	1126
B56	A01	0.1513	0	1513
B56	A11	0.096	0	960
B56	A03	0.0954	0	954
B56	A24	0.1496	0	1496
B56	A26	0.0461	0	461
B56	A02	0.1126	0	1126
B56	B15	0	0	0
B51	A01	0.1529	0	1529
B51	A11	0.0799	0	799
B51	A03	0.0794	0.05	1.58483033932136
B51	A24	0.1328	0	1328
B51	A26	0.071	0.0247	2.86290322580645
B51	A02	0.0964	0.05	1.92415169660679
B51	B15	0.0231	0.0243	0.94672131147541
B51	B56	0.0231	0.0243	0.94672131147541
B58	A01	0.1537	0	1537
B58	A11	0.0803	0	803
B58	A03	0.0969	0.0492	1.96551724137931
B58	A24	0.1154	0	1154
B58	A26	0.0882	0.0243	3.61475409836066
B58	A02	0.0798	0.0492	1.61866125760649
B58	B15	0.039	0.0239	1.625
B58	B56	0.039	0.0239	1.625
B58	B51	0.0155	0	155
B35	A01	0.1537	0	1537
B35	A11	0.0803	0	803
B35	A03	0.0969	0.0492	1.96551724137931
B35	A24	0.1154	0	1154
B35	A26	0.0882	0.0243	3.61475409836066
B35	A02	0.0798	0.0492	1.61866125760649
B35	B15	0.039	0.0239	1.625
B35	B56	0.039	0.0239	1.625
B35	B51	0.0155	0	155
B35	B58	0	0	0
B27	A01	0.1714	0	1714
B27	A11	0.0967	0	967
B27	A03	0.0961	0.0505	1.89920948616601
B27	A24	0.1145	0	1145
B27	A26	0.1046	0.0249	4.184
B27	A02	0.0792	0.0505	1.56521739130435
B27	B15	0.0712	0.0245	2.89430894308943
B27	B56	0.0712	0.0245	2.89430894308943
