pair_gene1	pair_gene2	pair_dN	pair_dS	pair_dN_dS
A32	A30	0.0283	0.0856	0.33022170361727
A74	A30	0.0283	0.0856	0.33022170361727
A74	A32	0	0	0
A01	A30	0.0319	0.0725	0.439393939393939
A01	A32	0.0175	0.0355	0.491573033707865
A01	A74	0.0175	0.0355	0.491573033707865
A26	A30	0.0301	0.0921	0.32646420824295
A26	A32	0.014	0.0478	0.292275574112735
A26	A74	0.014	0.0478	0.292275574112735
A26	A01	0.0158	0.0415	0.379807692307692
A11	A30	0.0283	0.0851	0.332159624413146
A11	A32	0.0176	0.0475	0.369747899159664
A11	A74	0.0176	0.0475	0.369747899159664
A11	A01	0.007	0.0116	0.598290598290598
A11	A26	0.0087	0.0293	0.295918367346939
A03	A30	0.0212	0.0595	0.355704697986577
A03	A32	0.014	0.0233	0.598290598290598
A03	A74	0.014	0.0233	0.598290598290598
A03	A01	0.0105	0.0115	0.905172413793104
A03	A26	0.0194	0.0292	0.662116040955631
A03	A11	0.0105	0.0232	0.450643776824034
A29	A30	0.0283	0.098	0.288481141692151
A29	A32	0.0211	0.0116	1.8034188034188
A29	A74	0.0211	0.0116	1.8034188034188
A29	A01	0.0247	0.0474	0.52
A29	A26	0.0247	0.0599	0.411666666666667
A29	A11	0.0212	0.0595	0.355704697986577
A29	A03	0.0141	0.035	0.401709401709402
A31	A30	0.0175	0.0729	0.23972602739726
A31	A32	0.0175	0.0117	1.48305084745763
A31	A74	0.0175	0.0117	1.48305084745763
A31	A01	0.0283	0.0235	1.19915254237288
A31	A26	0.0211	0.0356	0.591036414565826
A31	A11	0.0247	0.0354	0.695774647887324
A31	A03	0.0176	0.0116	1.5042735042735
A31	A29	0.0105	0.0234	0.446808510638298
A02	A30	0.0428	0.0725	0.589531680440771
A02	A32	0.0319	0.0726	0.43878954607978
A02	A74	0.0319	0.0726	0.43878954607978
A02	A01	0.0392	0.0475	0.823529411764706
A02	A26	0.0319	0.0726	0.43878954607978
A02	A11	0.0392	0.0597	0.655518394648829
A02	A03	0.0284	0.0594	0.477310924369748
A02	A29	0.0374	0.0914	0.408743169398907
A02	A31	0.0373	0.0539	0.690740740740741
A23	A30	0.0319	0.0474	0.671578947368421
A23	A32	0.0283	0.0234	1.20425531914894
A23	A74	0.0283	0.0234	1.20425531914894
A23	A01	0.0374	0.0174	2.13714285714286
A23	A26	0.0319	0.0234	1.35744680851064
A23	A11	0.0338	0.0292	1.15358361774744
A23	A03	0.0266	0.0057	4.58620689655172
A23	A29	0.0265	0.0412	0.641646489104116
A23	A31	0.0247	0.0116	2.11111111111111
A23	A02	0.0211	0.0473	0.445147679324894
A24	A30	0.0319	0.0474	0.671578947368421
A24	A32	0.0283	0.0234	1.20425531914894
A24	A74	0.0283	0.0234	1.20425531914894
A24	A01	0.0374	0.0174	2.13714285714286
A24	A26	0.0319	0.0234	1.35744680851064
A24	A11	0.0338	0.0292	1.15358361774744
A24	A03	0.0266	0.0057	4.58620689655172
A24	A29	0.0265	0.0412	0.641646489104116
A24	A31	0.0247	0.0116	2.11111111111111
A24	A02	0.0211	0.0473	0.445147679324894
A24	A23	0	0	0
B13	A30	0.0855	0.1624	0.526153846153846
B13	A32	0.07	0.1487	0.470430107526882
B13	A74	0.07	0.1487	0.470430107526882
B13	A01	0.0849	0.1505	0.563745019920319
B13	A26	0.07	0.1212	0.577081615828524
B13	A11	0.0772	0.1362	0.566397652237711
B13	A03	0.0812	0.1357	0.597938144329897
B13	A29	0.0869	0.1713	0.507001166861144
B13	A31	0.0854	0.1351	0.631656804733728
B13	A02	0.0826	0.1729	0.477456647398844
B13	A23	0.0827	0.1171	0.705631399317406
B13	A24	0.0827	0.1171	0.705631399317406
B51	A30	0.0768	0.1805	0.425249169435216
B51	A32	0.0596	0.2033	0.293018682399213
B51	A74	0.0596	0.2033	0.293018682399213
B51	A01	0.0742	0.2049	0.361951219512195
B51	A26	0.0634	0.1736	0.364997121473805
B51	A11	0.0667	0.1895	0.351793248945148
B51	A03	0.0706	0.1888	0.373742721016411
B51	A29	0.0762	0.2272	0.335239771227453
B51	A31	0.0748	0.1887	0.396186440677966
B51	A02	0.0692	0.2099	0.32952380952381
B51	A23	0.0648	0.1822	0.355458036204059
B51	A24	0.0648	0.1822	0.355458036204059
B51	B13	0.043	0.047	0.912951167728238
B58	A30	0.073	0.1512	0.482485128883014
B58	A32	0.0597	0.1729	0.345086705202312
B58	A74	0.0597	0.1729	0.345086705202312
B58	A01	0.075	0.1723	0.435034802784223
B58	A26	0.0597	0.1446	0.412577747062889
B58	A11	0.0674	0.1576	0.427393785668992
B58	A03	0.0713	0.157	0.453851050286442
B58	A29	0.077	0.1935	0.397727272727273
B58	A31	0.0749	0.1589	0.471069182389937
B58	A02	0.0712	0.1722	0.413232733604179
B58	A23	0.0712	0.1437	0.495132127955494
B58	A24	0.0712	0.1437	0.495132127955494
B58	B13	0.023	0.0289	0.793103448275862
B58	B51	0.0284	0.0468	0.605543710021322
B35	A30	0.073	0.1512	0.482485128883014
B35	A32	0.0597	0.1729	0.345086705202312
B35	A74	0.0597	0.1729	0.345086705202312
B35	A01	0.075	0.1723	0.435034802784223
B35	A26	0.0597	0.1446	0.412577747062889
B35	A11	0.0674	0.1576	0.427393785668992
B35	A03	0.0713	0.157	0.453851050286442
B35	A29	0.077	0.1935	0.397727272727273
B35	A31	0.0749	0.1589	0.471069182389937
B35	A02	0.0712	0.1722	0.413232733604179
B35	A23	0.0712	0.1437	0.495132127955494
B35	A24	0.0712	0.1437	0.495132127955494
B35	B13	0.023	0.0289	0.793103448275862
B35	B51	0.0284	0.0468	0.605543710021322
B35	B58	0	0	0
B15	A30	0.0673	0.1443	0.46606648199446
B15	A32	0.0541	0.1658	0.326100060277276
B15	A74	0.0541	0.1658	0.326100060277276
B15	A01	0.0692	0.1652	0.418632788868724
B15	A26	0.0541	0.1377	0.392597968069666
B15	A11	0.0617	0.1507	0.409151193633952
B15	A03	0.0655	0.1501	0.436085219707057
B15	A29	0.0712	0.1863	0.381974248927039
B15	A31	0.0691	0.152	0.4543063773833
B15	A02	0.0616	0.1651	0.372881355932203
B15	A23	0.0579	0.1369	0.422627737226277
B15	A24	0.0579	0.1369	0.422627737226277
B15	B13	0.0266	0.0408	0.650366748166259
B15	B51	0.026	0.0672	0.386329866270431
B15	B58	0.0177	0.0347	0.508620689655172
B15	B35	0.0177	0.0347	0.508620689655172
B56	A30	0.0711	0.1307	0.543577981651376
B56	A32	0.0578	0.1518	0.380513495720869
B56	A74	0.0578	0.1518	0.380513495720869
B56	A01	0.073	0.1512	0.482485128883014
B56	A26	0.0578	0.1242	0.465004022526146
B56	A11	0.0655	0.137	0.477753464624362
B56	A03	0.0693	0.1365	0.507320644216691
B56	A29	0.075	0.172	0.435793143521209
